date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:07	1618835/1618835	---M--	200	added ('OK')	image/png	etag:%2218b393-66f38519-6688d7702c0f1fa;;;%22	https://gov.portal-cac.com/cac/images/out-0_7.png	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/images/out-0_7.png	(from https://gov.portal-cac.com/cac/)
14:22:08	1163176/1163176	---M--	200	added ('OK')	image/png	etag:%2211bfa8-66f38519-1e1b31133d50bdce;;;%22	https://gov.portal-cac.com/cac/images/out-0.png	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/images/out-0.png	(from https://gov.portal-cac.com/cac/)
14:22:09	1412576/1412576	---M--	200	added ('OK')	image/png	etag:%22158de0-66f38519-2adb39eb12eb53c;;;%22	https://gov.portal-cac.com/cac/images/out-0_8.png	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/images/out-0_8.png	(from https://gov.portal-cac.com/cac/)
14:22:09	9531/9531	---M-Z	200	added ('OK')	application/javascript	etag:W/%22253b-QI7TQpPsfIVl+XS+Sp212mfYjKw%22	https://cdn.jsdelivr.net/npm/js-sha256/src/sha256.min.js	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/cdn.jsdelivr.net/npm/js-sha256/src/sha256.min.js	(from https://gov.portal-cac.com/cac/js/pixel.js)
14:22:09	134346/134346	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2220cca-66f38519-1a005d543f888c24;gz%22	https://gov.portal-cac.com/cac/fonts/fa-brands-400_1.eot	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/fonts/fa-brands-400_1.eot	(from https://gov.portal-cac.com/cac/css/all.min_1.css)
14:22:09	76764/76764	---M--	200	added ('OK')	font/woff2	etag:%2212bdc-66f38519-5185fba3e754685b;;;%22	https://gov.portal-cac.com/cac/fonts/fa-brands-400_1.woff2	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/fonts/fa-brands-400_1.woff2	(from https://gov.portal-cac.com/cac/css/all.min_1.css)
14:22:10	90060/90060	---M--	200	added ('OK')	application/font-woff	etag:%2215fcc-66f38519-f405a8be977fb863;;;%22	https://gov.portal-cac.com/cac/fonts/fa-brands-400_1.woff	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/fonts/fa-brands-400_1.woff	(from https://gov.portal-cac.com/cac/css/all.min_1.css)
14:22:10	1508369/1508369	---M--	200	added ('OK')	image/png	etag:%22170411-66f38519-adf392681695fc8c;;;%22	https://gov.portal-cac.com/cac/images/out-0_9.png	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/images/out-0_9.png	(from https://gov.portal-cac.com/cac/)
14:22:10	134040/134040	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2220b98-66f38519-2e8dfb3801139f85;gz%22	https://gov.portal-cac.com/cac/fonts/fa-brands-400_1.ttf	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/fonts/fa-brands-400_1.ttf	(from https://gov.portal-cac.com/cac/css/all.min_1.css)
14:22:10	34034/34034	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2284f2-66f38519-414c9b82d69bc9a8;gz%22	https://gov.portal-cac.com/cac/fonts/fa-regular-400_1.eot	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/fonts/fa-regular-400_1.eot	(from https://gov.portal-cac.com/cac/css/all.min_1.css)
